anio,mes,ciclo_laboral,day,dia_label,fin_de_semana,principo_mes,fin_de_mes,hora,noche,horario_bancario,delito_tipo,delito_subtipo,uso_arma,calle,cajeros_a_100,cajeros_a_200,banco,red,bancos_a_100,bancos_a_200,comisarias_a_100,comisarias_a_200,precio_m2_usd,densidad_pob,pct_hogares_nbi,barrio,comuna
2016,ENERO,Vacaciones,27,MIERCOLES,no,no,si,12,no,si,Robo,Robo total,NO,AVENIDA,no,no,CitiBank,BANELCO,no,no,no,no,2173,7941.622045871209,0.05750798722044728,LINIERS,9
2016,ENERO,Vacaciones,18,LUNES,no,no,no,12,no,si,Robo,Robo total,NO,CALLE,no,no,CitiBank,BANELCO,no,no,no,no,2173,7064.506596643527,0.10266159695817491,LINIERS,9
2016,ENERO,Vacaciones,28,JUEVES,no,no,si,9,no,no,Robo,Robo total,NO,SENDERO,si,si,Banco Supervielle,BANELCO,si,si,no,no,2173,7125.4169862743465,0.006802721088435374,LINIERS,9
2016,ENERO,Vacaciones,27,MIERCOLES,no,no,si,21,si,no,Robo,Robo total,SI,CALLE,si,si,Banco Supervielle,BANELCO,si,si,no,no,2173,10819.971030883213,0.029288702928870293,LINIERS,9
2016,ENERO,Vacaciones,15,VIERNES,no,no,no,5,si,no,Robo,Robo total,SI,CALLE,si,si,Banco Santander Río,BANELCO,si,si,no,no,2737,7049.66964710979,0.003289473684210526,VILLA DEVOTO,11
2016,ENERO,Vacaciones,3,DOMINGO,si,si,no,14,no,no,Robo,Robo total,SI,CALLE,si,si,CABAL COOP. LTDA.,LINK,si,si,no,no,2173,33809.69515232973,0.007380073800738007,LINIERS,9
2016,ENERO,Vacaciones,30,SABADO,si,no,si,22,si,no,Robo,Robo automotor,SI,CALLE,no,no,CABAL COOP. LTDA.,LINK,no,no,no,no,2173,15186.550237503667,0.0189873417721519,LINIERS,9
2016,ENERO,Vacaciones,10,DOMINGO,si,no,no,18,si,no,Robo,Robo total,NO,PASAJE,si,si,CABAL COOP. LTDA.,LINK,si,si,no,no,2173,15791.541579483499,0,LINIERS,9
2016,ENERO,Vacaciones,19,MARTES,no,no,no,21,si,no,Robo,Robo total,SI,CALLE,no,no,Banco Santander Río,BANELCO,no,no,no,no,2737,12363.967298865968,0.0032679738562091504,VILLA DEVOTO,11
2016,ENERO,Vacaciones,22,VIERNES,no,no,no,15,no,si,Robo,Robo total,NO,PASAJE,no,si,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,si,si,no,no,2173,13301.771518815858,0.0057306590257879654,LINIERS,9
